"","tag_code_2","natal_origin"
"590","3D9.1C2D037F64",10
"591","3D9.1C2D03B1F3",10
"592","3D9.1C2D03BBC6",10
"593","3D9.1C2D03C3C8",10
"594","3D9.1C2D03CF4D",10
"595","3D9.1C2D03DC99",10
"596","3D9.1C2D042C0D",10
"597","3D9.1C2D042C32",10
"598","3D9.1C2D043487",10
"599","3D9.1C2D05CA72",10
"600","3D9.1C2D0796E3",16
"601","3D9.1C2D0807BE",4
"602","3D9.1C2D0878EC",10
"603","3D9.1C2D08C3A4",10
"604","3D9.1C2D0919EC",16
"605","3D9.1C2D0995E1",16
"606","3D9.1C2D09AB9F",16
"607","3D9.1C2D09B878",16
"608","3D9.1C2D09BA2C",16
"609","3D9.1C2D09BCDE",4
"610","3D9.1C2D09BF1A",16
"611","3D9.1C2D09C8B3",16
"612","3D9.1C2D09D352",16
"613","3D9.1C2D0A1AD5",4
"614","3D9.1C2D0B0EE5",4
"615","3D9.1C2D0BD2DD",16
"616","3D9.1C2D0BD88D",16
"617","3D9.1C2D0BFA09",16
"618","3D9.1C2D0C2405",4
"619","3D9.1C2D0C2ADB",16
"620","3D9.1C2D0C4D4E",16
"621","3D9.1C2D0C883B",4
"622","3D9.1C2D0C9DE5",4
"623","3D9.1C2D0CA0A8",4
"624","3D9.1C2D0CD4F2",4
"625","3D9.1C2D0D39C3",10
"626","3D9.1C2D0D9913",10
"627","3D9.1C2D0FFDE7",4
"628","3D9.1C2D1004F7",4
"629","3D9.1C2D104B62",4
"630","3D9.1C2D1056CC",16
"631","3D9.1C2D105E0C",4
"632","3D9.1C2D1079AB",4
"633","3D9.1C2D10B1BF",4
"634","3D9.1C2D10C675",4
"635","3D9.1C2D10CBCD",16
"636","3D9.1C2D10D5C4",4
"637","3D9.1C2D10F371",4
"638","3D9.1C2D10FC24",4
"639","3D9.1C2D10FD89",4
"640","3D9.1C2D110D2F",4
"641","3D9.1C2D111A1F",4
"642","3D9.1C2D112AF0",4
"643","3D9.1C2D112CEB",4
"644","3D9.1C2D11311B",4
"645","3D9.1C2D113428",4
"646","3D9.1C2D11360E",16
"647","3D9.1C2D11440A",4
"648","3D9.1C2D11479E",16
"649","3D9.1C2D114A68",4
"650","3D9.1C2D1156CC",4
"651","3D9.1C2D116EDE",4
"652","3D9.1C2D1173CB",4
"653","3D9.1C2D117AE6",16
"654","3D9.1C2D11894E",4
"655","3D9.1C2D11BC87",16
"656","3D9.1C2D11D6E7",10
"657","3D9.1C2D11D8CE",10
"658","3D9.1C2D124930",4
"659","3D9.1C2D125685",4
"660","3D9.1C2D125BF9",4
"661","3D9.1C2D125E40",4
"662","3D9.1C2D127644",4
"663","3D9.1C2D12D348",10
"664","3D9.1C2D12D35D",10
"665","3D9.1C2D135E7A",10
"666","3D9.1C2D1C29BC",10
"667","3D9.1C2D1C34B1",10
"668","3D9.1C2D1C8907",10
"669","3D9.1C2D1F7BFE",10
"670","3D9.1C2D1F8356",10
"671","3D9.1C2D28B1F9",10
"672","3D9.1C2D28BCFE",10
"673","3D9.1C2D3401E6",10
"674","3D9.1C2D3DAFF6",10
"675","3D9.1C2D3DBF96",10
"676","3D9.1C2D3F6C57",10
"677","3D9.1C2D41B5F3",10
"678","3D9.1C2D45A06D",4
"679","3D9.1C2D45A1FD",16
"680","3D9.1C2D45A35A",4
"681","3D9.1C2D45A3A3",16
"682","3D9.1C2D45A757",16
"683","3D9.1C2D45B58B",4
"684","3D9.1C2D45BD25",16
"685","3D9.1C2D45C164",4
"686","3D9.1C2D45C22A",16
"687","3D9.1C2D45C98F",16
"688","3D9.1C2D45CE40",4
"689","3D9.1C2D45D0AA",4
"690","3D9.1C2D45D3BC",4
"691","3D9.1C2D45DA6D",16
"692","3D9.1C2D45E50D",4
"693","3D9.1C2D45F838",10
"694","3D9.1C2D45F9A9",10
"695","3D9.1C2D45FA00",10
"696","3D9.1C2D46015C",10
"697","3D9.1C2D4601EE",10
"698","3D9.1C2D46080F",10
"699","3D9.1C2D460C48",10
"700","3D9.1C2D460C92",10
"701","3D9.1C2D46108B",10
"702","3D9.1C2D46113E",10
"703","3D9.1C2D4618A2",10
"704","3D9.1C2D461AF7",10
"705","3D9.1C2D462CC1",10
"706","3D9.1C2D462DA2",10
"707","3D9.1C2D4630D0",10
"708","3D9.1C2D468254",4
"709","3D9.1C2D473C57",4
"710","3D9.1C2D488FBA",4
